Experiment,Time Step,Input String,Uniform Entropy,Board Entropy,Herding
4,45,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,46,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,47,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,48,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,49,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,50,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,1,scientistIncentives citation 1,6.643856189774724,5.243856189774725,0.21072099696478674
5,2,scientistIncentives citation 1,6.643856189774724,4.958562939644917,0.2536619098895564
5,3,scientistIncentives citation 1,6.643856189774724,4.580631000600122,0.31054633487552363
5,4,scientistIncentives citation 1,6.643856189774724,1.9051522565005274,0.7132460122432112
5,5,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,6,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,7,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,8,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,9,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,10,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,11,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,12,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,13,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,14,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,15,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,16,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,17,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,18,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,19,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,20,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,21,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,22,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,23,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,24,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,25,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,26,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,27,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,28,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,29,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,30,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,31,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,32,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,33,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,34,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,35,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,36,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,37,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,38,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,39,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,40,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,41,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,42,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,43,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,44,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,45,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,46,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,47,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,48,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,49,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
5,50,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,1,scientistIncentives citation 1,6.643856189774724,5.228758439731456,0.21299343477981736
6,2,scientistIncentives citation 1,6.643856189774724,5.1336606896881865,0.22730707242140724
6,3,scientistIncentives citation 1,6.643856189774724,4.739470570797252,0.2866385973116683
6,4,scientistIncentives citation 1,6.643856189774724,2.87902107370634,0.566664149332835
6,5,scientistIncentives citation 1,6.643856189774724,0.9426831892554922,0.8581120418129556
6,6,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,7,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,8,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,9,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,10,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,11,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,12,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,13,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,14,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,15,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,16,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,17,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,18,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,19,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,20,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,21,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,22,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,23,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,24,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,25,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,26,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,27,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,28,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,29,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,30,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,31,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,32,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,33,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,34,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,35,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,36,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,37,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,38,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,39,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,40,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,41,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,42,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,43,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,44,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,45,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,46,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,47,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,48,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,49,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
6,50,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,1,scientistIncentives citation 1,6.643856189774724,5.076565630242721,0.23590073517005883
7,2,scientistIncentives citation 1,6.643856189774724,2.871737433422466,0.5677604464343713
7,3,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,4,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,5,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,6,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,7,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,8,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,9,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,10,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,11,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,12,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,13,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,14,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,15,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,16,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,17,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,18,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
7,19,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
